X	S11	S12	S22					
0	123.625	-1.45E+05	-88.75					
2.50E-03	156.125	-1.45E+05	-154.182					
5.00E-03	180.594	4.76E+04	-237.395					
7.50E-03	168.563	4.96E+03	-255.845					
1.00E-02	161.75	1.37E+04	-254.084					
1.25E-02	158.188	1.50E+04	-249.312					
1.50E-02	157.25	1.35E+04	-246.551					
1.75E-02	156.781	1.39E+04	-245.409					
2.00E-02	156.094	1.39E+04	-244.123					
2.25E-02	155.313	1.39E+04	-243.013					
2.50E-02	154.531	1.39E+04	-241.75					
2.75E-02	153.75	1.39E+04	-240.522					
3.00E-02	152.969	1.39E+04	-239.289					
3.25E-02	152.156	1.39E+04	-238.047					
3.50E-02	151.375	1.39E+04	-236.834					
3.75E-02	150.594	1.39E+04	-235.596					
4.00E-02	149.781	1.39E+04	-234.389					
4.25E-02	149	1.39E+04	-233.161					
4.50E-02	148.219	1.39E+04	-231.958					
4.75E-02	147.438	1.39E+04	-230.742					
5.00E-02	146.688	1.39E+04	-229.542					
5.25E-02	145.906	1.39E+04	-228.336					
5.50E-02	145.125	1.39E+04	-227.142					
5.75E-02	144.344	1.39E+04	-225.946					
6.00E-02	143.563	1.39E+04	-224.758					
6.25E-02	142.813	1.39E+04	-223.571					
6.50E-02	142.031	1.39E+04	-222.391					
6.75E-02	141.25	1.39E+04	-221.213					
7.00E-02	140.5	1.39E+04	-220.04					
7.25E-02	139.719	1.39E+04	-218.872					
7.50E-02	138.938	1.39E+04	-217.708					
7.75E-02	138.188	1.39E+04	-216.548					
8.00E-02	137.438	1.39E+04	-215.393					
8.25E-02	136.688	1.39E+04	-214.243					
8.50E-02	135.906	1.39E+04	-213.098					
8.75E-02	135.156	1.39E+04	-211.957					
9.00E-02	134.406	1.39E+04	-210.821					
9.25E-02	133.594	1.39E+04	-209.691					
9.50E-02	132.844	1.39E+04	-208.565					
9.75E-02	132.125	1.39E+04	-207.445					
1.00E-01	131.344	1.39E+04	-206.33					
1.03E-01	130.563	1.39E+04	-205.22					
1.05E-01	129.813	1.39E+04	-204.116					
1.08E-01	129.063	1.39E+04	-203.017					
1.10E-01	128.281	1.39E+04	-201.923					
1.13E-01	127.5	1.39E+04	-200.836					
1.15E-01	126.75	1.39E+04	-199.754					
1.18E-01	125.969	1.39E+04	-198.679					
1.20E-01	125.188	1.39E+04	-197.609					
1.23E-01	124.438	1.39E+04	-196.545					
1.25E-01	123.656	1.39E+04	-195.488					
1.28E-01	122.875	1.39E+04	-194.436					
1.30E-01	122.125	1.39E+04	-193.392					
1.33E-01	121.344	1.39E+04	-192.353					
1.35E-01	120.563	1.39E+04	-191.321					
1.38E-01	119.813	1.39E+04	-190.296					
1.40E-01	119.031	1.39E+04	-189.278					
1.43E-01	118.25	1.39E+04	-188.266					
1.45E-01	117.5	1.39E+04	-187.261					
1.48E-01	116.719	1.39E+04	-186.264					
1.50E-01	115.906	1.39E+04	-185.273					
1.53E-01	115.125	1.39E+04	-184.29					
1.55E-01	114.344	1.39E+04	-183.314					
1.58E-01	113.563	1.39E+04	-182.345					
1.60E-01	112.75	1.39E+04	-181.384					
1.63E-01	111.938	1.39E+04	-180.431					
1.65E-01	111.156	1.39E+04	-179.485					
1.68E-01	110.344	1.39E+04	-178.547					
1.70E-01	109.563	1.39E+04	-177.616					
1.73E-01	108.75	1.39E+04	-176.694					
1.75E-01	107.938	1.39E+04	-175.78					
1.78E-01	107.156	1.39E+04	-174.874					
1.80E-01	106.344	1.39E+04	-173.976					
1.83E-01	105.5	1.39E+04	-173.087					
1.85E-01	104.688	1.39E+04	-172.205					
1.88E-01	103.875	1.39E+04	-171.333					
1.90E-01	103	1.39E+04	-170.469					
1.93E-01	102.188	1.39E+04	-169.613					
1.95E-01	101.375	1.39E+04	-168.767					
1.98E-01	100.531	1.39E+04	-167.929					
2.00E-01	99.6875	1.39E+04	-167.1					
2.03E-01	98.8438	1.39E+04	-166.28					
2.05E-01	98	1.39E+04	-165.47					
2.08E-01	97.1563	1.39E+04	-164.668					
2.10E-01	96.3125	1.39E+04	-163.876					
2.13E-01	95.4375	1.39E+04	-163.093					
2.15E-01	94.5625	1.39E+04	-162.319					
2.18E-01	93.6875	1.39E+04	-161.555					
2.20E-01	92.8125	1.39E+04	-160.8					
2.23E-01	91.9375	1.39E+04	-160.055					
2.25E-01	91.0313	1.39E+04	-159.32					
2.28E-01	90.1563	1.39E+04	-158.595					
2.30E-01	89.3125	1.39E+04	-157.879					
2.33E-01	88.4063	1.39E+04	-157.173					
2.35E-01	87.4688	1.39E+04	-156.478					
2.38E-01	86.5625	1.39E+04	-155.792					
2.40E-01	85.6563	1.39E+04	-155.117					
2.43E-01	84.75	1.39E+04	-154.451					
2.45E-01	83.8438	1.39E+04	-153.796					
2.48E-01	82.9063	1.39E+04	-153.152					
2.50E-01	81.9688	1.39E+04	-152.517					
2.53E-01	81.0625	1.39E+04	-151.893					
2.55E-01	80.125	1.39E+04	-151.28					
2.58E-01	79.1563	1.39E+04	-150.677					
2.60E-01	78.1875	1.39E+04	-150.085					
2.63E-01	77.2188	1.39E+04	-149.503					
2.65E-01	76.2813	1.39E+04	-148.932					
2.68E-01	75.3125	1.39E+04	-148.372					
2.70E-01	74.3125	1.39E+04	-147.823					
2.73E-01	73.3125	1.39E+04	-147.285					
2.75E-01	72.3438	1.39E+04	-146.757					
2.78E-01	71.375	1.39E+04	-146.241					
2.80E-01	70.375	1.39E+04	-145.735					
2.83E-01	69.375	1.39E+04	-145.241					
2.85E-01	68.375	1.39E+04	-144.758					
2.88E-01	67.3438	1.39E+04	-144.286					
2.90E-01	66.3125	1.39E+04	-143.825					
2.93E-01	65.2813	1.39E+04	-143.375					
2.95E-01	64.25	1.39E+04	-142.936					
2.98E-01	63.2188	1.39E+04	-142.509					
3.00E-01	62.1563	1.39E+04	-142.093					
3.03E-01	61.0938	1.39E+04	-141.689					
3.05E-01	60.0313	1.39E+04	-141.295					
3.08E-01	59	1.39E+04	-140.913					
3.10E-01	57.9375	1.39E+04	-140.543					
3.13E-01	56.8438	1.39E+04	-140.184					
3.15E-01	55.75	1.39E+04	-139.837					
3.18E-01	54.6563	1.39E+04	-139.501					
3.20E-01	53.5625	1.39E+04	-139.176					
3.23E-01	52.4688	1.39E+04	-138.863					
3.25E-01	51.375	1.39E+04	-138.562					
3.28E-01	50.25	1.39E+04	-138.272					
3.30E-01	49.125	1.39E+04	-137.994					
